Configuration,Hemisphere,Region Name,Metric,Statistic,p-value,p-value (corrected)
With FLAIR,Left,G&S_cingul-Ant,Gray Matter Volume,0.4588235294117647,1.915138795035636e-08,0.00013605145999933158
With FLAIR,Left,G&S_cingul-Mid-Post,Gray Matter Volume,0.4117647058823529,7.801301665682524e-07,0.005542044703300865
With FLAIR,Left,G&S_frontomargin,Average Thickness,0.4117647058823529,7.801301665682524e-07,0.005542044703300865
With FLAIR,Left,G&S_frontomargin,Gray Matter Volume,0.611764705882353,3.6463809436111864e-15,2.590389022341387e-11
With FLAIR,Left,G&S_frontomargin,Thickness StdDev,0.4588235294117647,1.915138795035636e-08,0.00013605145999933158
With FLAIR,Left,G&S_occipital_inf,Average Thickness,0.788235294117647,1.8905180363248972e-26,1.343024013005207e-22
With FLAIR,Left,G&S_occipital_inf,Gray Matter Volume,0.6588235294117647,9.457315334732807e-18,6.718476813794187e-14
With FLAIR,Left,G&S_occipital_inf,Thickness StdDev,0.4235294117647059,3.223678374248977e-07,0.0022901011170664734
With FLAIR,Left,G&S_paracentral,Average Thickness,0.8941176470588236,5.7622306992498864e-36,4.093488688747119e-32
With FLAIR,Left,G&S_paracentral,Gray Matter Volume,0.8117647058823529,2.455218228993373e-28,1.7441870298768922e-24
With FLAIR,Left,G&S_subcentral,Average Thickness,0.6470588235294118,4.444938207324419e-17,3.1576841024832675e-13
With FLAIR,Left,G&S_subcentral,Gray Matter Volume,0.5882352941176471,5.709190734568372e-14,4.055809097837372e-10
With FLAIR,Left,G&S_subcentral,Thickness StdDev,0.47058823529411764,7.047710765731141e-09,5.0066937279754025e-05
With FLAIR,Left,G&S_transv_frontopol,Average Thickness,0.7647058823529411,1.1418728939402379e-24,8.11186503855145e-21
With FLAIR,Left,G&S_transv_frontopol,Gray Matter Volume,0.7294117647058823,3.5545710131521912e-22,2.5251672477433167e-18
With FLAIR,Left,G_Ins_lg&S_cent_ins,Average Thickness,0.5058823529411764,2.9295268491553263e-10,2.081135873639944e-06
