Configuration,Metric,Statistic,p-value,p-value (corrected)
With FLAIR,Average Thickness,0.1369847501132418,2.8835867528272553e-217,9.227477609047217e-216
With FLAIR,Gray Matter Volume,0.10554129548542956,6.250794470578529e-129,2.0002542305851294e-127
With FLAIR,Thickness StdDev,0.03125471840555641,1.1237229141104587e-11,3.5959133251534677e-10
With FLAIR and MPRAGE Flag,Average Thickness,0.1369847501132418,2.8835867528272553e-217,9.227477609047217e-216
With FLAIR and MPRAGE Flag,Gray Matter Volume,0.10554129548542956,6.250794470578529e-129,2.0002542305851294e-127
With FLAIR and MPRAGE Flag,Thickness StdDev,0.03125471840555641,1.1237229141104587e-11,3.5959133251534677e-10
With T2,Average Thickness,0.11943228144345469,4.28594554960665e-165,1.371502575874128e-163
With T2,Thickness StdDev,0.1534425486939453,8.64762119964971e-273,2.767238783887907e-271
With T2 and MPRAGE Flag,Average Thickness,0.11943228144345469,4.28594554960665e-165,1.371502575874128e-163
With T2 and MPRAGE Flag,Thickness StdDev,0.1534425486939453,8.64762119964971e-273,2.767238783887907e-271
