Count,Repetition Time (TR),Echo Time (TE),Inversion Time (TI),Flip Angle,Spatial Resolution (mm<sup>3</sup>),Corrected
865,2400.0,2.78,1000.0,8.0,"[0.9, 0.9, 0.9]",False
851,2400.0,2.78,1000.0,8.0,"[0.9, 0.9, 0.9]",True
215,2530.0,2.88,1100.0,7.0,"[1.0, 1.0, 1.0]",True
164,1750.0,2.61,900.0,8.0,"[1.0, 1.0, 1.0]",True
125,2530.0,2.99,1100.0,7.0,"[1.0, 1.0, 1.0]",True
100,1750.0,2.84,900.0,8.0,"[0.6, 0.6, 0.6]",True
80,2400.0,2.78,1000.0,8.0,"[0.88, 0.88, 0.9]",True
80,2400.0,2.78,1000.0,8.0,"[0.88, 0.88, 0.9]",False
38,1750.0,2.59,900.0,8.0,"[1.0, 1.0, 1.0]",True
20,2400.0,2.78,1000.0,8.0,"[0.91, 0.91, 0.9]",True
20,2400.0,2.78,1000.0,8.0,"[0.91, 0.91, 0.9]",False
20,2530.0,2.9,1100.0,7.0,"[1.0, 1.0, 1.0]",True
17,2530.0,2.45,1100.0,7.0,"[1.0, 1.0, 1.0]",True
16,1750.0,2.45,900.0,8.0,"[1.0, 1.0, 1.0]",True
9,4000.0,3.52,2180.0,5.0,"[1.0, 1.0, 1.0]",True
9,4000.0,3.52,716.0,5.0,"[1.0, 1.0, 1.0]",True
9,4000.0,3.52,0.0,0.0,"[1.0, 1.0, 1.0]",False
8,2000.0,2.95,1010.0,8.0,"[0.5, 0.5, 0.5]",True
8,1750.0,2.75,900.0,7.0,"[1.0, 1.0, 1.0]",True
5,1750.0,2.74,900.0,8.0,"[0.75, 0.75, 0.75]",True
5,2400.0,2.14,1000.0,8.0,"[1.0, 1.0, 1.0]",False
5,2400.0,2.14,1000.0,8.0,"[1.0, 1.0, 1.0]",True
4,1850.0,2.84,962.0,8.0,"[0.6, 0.6, 0.6]",True
2,2300.0,2.3,900.0,8.0,"[1.0, 1.0, 1.0]",True
1,2400.0,2.92,1000.0,7.0,"[1.0, 1.0, 1.0]",True
1,3500.0,3.07,2050.0,5.0,"[0.9, 0.9, 0.9]",True
1,3500.0,3.07,690.0,5.0,"[0.9, 0.9, 0.9]",True
1,3500.0,3.07,0.0,0.0,"[0.9, 0.9, 0.9]",False
1,2400.0,2.86,1000.0,8.0,"[0.8, 0.8, 0.8]",False
1,2400.0,2.86,1000.0,8.0,"[0.8, 0.8, 0.8]",True
1,2700.0,2.86,1250.0,8.0,"[0.8, 0.8, 0.8]",False
1,2500.0,2.22,1090.0,8.0,"[0.8, 0.8, 0.8]",False
1,2500.0,2.22,1090.0,8.0,"[0.8, 0.8, 0.8]",True
1,2500.0,2.86,1090.0,8.0,"[0.8, 0.8, 0.8]",False
1,2500.0,2.86,1090.0,8.0,"[0.8, 0.8, 0.8]",True
1,2700.0,2.86,1250.0,8.0,"[0.8, 0.8, 0.8]",True
1,2400.0,2.78,1000.0,8.0,"[1.0, 1.0, 0.9]",True
1,2530.0,2.76,1100.0,7.0,"[1.0, 1.0, 1.0]",True
1,2530.0,2.88,1100.0,7.0,"[1.07, 1.07, 1.0]",True
1,2530.0,2.65,1100.0,7.0,"[1.0, 1.0, 1.0]",True
1,1000.0,2.69,500.0,8.0,"[0.9, 0.9, 0.9]",True
1,2400.0,2.78,1000.0,8.0,"[1.0, 1.0, 0.9]",False
1,1750.0,2.93,900.0,8.0,"[0.75, 0.75, 1.0]",True
1,1500.0,2.66,538.0,8.0,"[0.9, 0.9, 0.9]",True
1,1750.0,2.44,400.0,8.0,"[0.5, 0.5, 0.5]",True
1,1750.0,2.57,900.0,8.0,"[1.12, 1.12, 1.1]",True
1,1750.0,2.58,400.0,8.0,"[0.6, 0.6, 0.6]",True
1,1750.0,2.59,900.0,8.0,"[1.22, 1.22, 1.22]",True
1,1750.0,2.63,446.0,8.0,"[1.0, 1.0, 1.0]",True
1,1750.0,2.76,900.0,8.0,"[0.7, 0.7, 0.7]",True
1,1750.0,2.77,688.0,8.0,"[0.7, 0.7, 0.7]",True
1,1750.0,2.83,400.0,8.0,"[1.29, 1.29, 0.7]",True
1,1800.0,2.61,900.0,8.0,"[1.0, 1.0, 1.0]",True
1,2400.0,2.77,1000.0,8.0,"[1.0, 1.0, 1.0]",True
1,1800.0,2.77,1000.0,8.0,"[0.9, 0.9, 0.9]",False
1,1800.0,2.77,1000.0,8.0,"[0.9, 0.9, 0.9]",True
1,1800.0,3.47,900.0,8.0,"[0.8, 0.8, 0.8]",True
1,2080.0,2.59,1050.0,8.0,"[1.0, 1.0, 1.0]",True
1,2200.0,2.77,1000.0,8.0,"[0.9, 0.9, 0.9]",False
1,2200.0,2.77,1000.0,8.0,"[0.9, 0.9, 0.9]",True
1,2400.0,2.32,1000.0,8.0,"[0.9, 0.9, 0.9]",False
1,2400.0,2.32,1000.0,8.0,"[0.9, 0.9, 0.9]",True
1,1180.0,2.67,1000.0,8.0,"[3.59, 3.59, 1.0]",False
1,2400.0,2.77,1000.0,8.0,"[1.0, 1.0, 1.0]",False
